"Story","Title","Result","Date","Stability","Duration (s)"
"Prueba Axa","Crear nuevo Usuario exitosamente","SUCCESS","2024-07-02T21:40:24.575-05:00[America/Bogota]","0.0","12.01"
"Prueba Axa","Realizar una compra, añadiendo productos al carrito.","SUCCESS","2024-07-02T21:40:36.581-05:00[America/Bogota]","0.0","54.9"
